[24/May/2024 09:48:13] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[24/May/2024 09:48:13] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[24/May/2024 09:48:13] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:296] Watching dir g:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\templates with glob **/*.
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:296] Watching dir G:\Hackathon\StarQuiz\frontend\templates with glob **/*.
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:296] Watching dir G:\Hackathon\StarQuiz\templates with glob **/*.
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:296] Watching dir G:\Hackathon\StarQuiz\locale with glob **/*.mo.
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:296] Watching dir g:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\locale with glob **/*.mo.
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:296] Watching dir g:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\account\locale with glob **/*.mo.
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:296] Watching dir G:\Hackathon\StarQuiz\frontend\locale with glob **/*.mo.
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\app_settings.py first seen with mtime 1716506776.7657955
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1716474791.8210618
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1716474793.8311088
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1716474793.7493238
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\utils\hashable.py first seen with mtime 1716474793.8542032
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1716474793.8712523
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1716474793.8381395
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\mimetypes.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\account\managers.py first seen with mtime 1716506776.7744074
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\psycopg2\extras.py first seen with mtime 1716506774.8949485
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\re\_parser.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1716474793.7296283
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\quopri.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1716474793.8788388
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1716474793.6688423
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1716474792.686961
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\bz2.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\http\cookies.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\heapq.py first seen with mtime 1675785262.0
